# Sensor Tramwajowa, Osiedle Biskupin-Sępolno-Dąbie-Bartoszowice, Poland (Citizen Science project luftdaten.info/68308)
# https://aqicn.org/station/@undefined/
# Daily pm10
date,min,max,median,q1,q3,stdev,count
2022-07-20T00:00:00.000Z,10,61,26,23,33,9.414,289
2022-07-21T00:00:00.000Z,10,49,28,23,32,6.631,291
2022-07-22T00:00:00.000Z,18,57,27,25,30,5.434,291
2022-07-23T00:00:00.000Z,24,95,34,30,38,6.67,295
2022-07-24T00:00:00.000Z,2,29,12,10,20,6.079,295
2022-07-25T00:00:00.000Z,4,223,21,13,77,63.589,290
2022-07-26T00:00:00.000Z,9,128,18,14,26,14.703,291
2022-07-27T00:00:00.000Z,5,25,12,11,14,2.966,292
2022-07-28T00:00:00.000Z,5,34,15,13,18,5.092,302
2022-07-29T00:00:00.000Z,6,41,18,14,25,7.116,296
2022-07-30T00:00:00.000Z,6,21,14,12,15,2.583,288
2022-07-31T00:00:00.000Z,5,57,15,13,17,4.466,298
2022-08-01T00:00:00.000Z,7,27,16,14,19,3.955,282
2022-08-02T00:00:00.000Z,5,49,14,13,16,6.085,284
2022-08-03T00:00:00.000Z,8,64,22,19,37,14.445,309
2022-08-04T00:00:00.000Z,18,38,28,23,31,4.198,375
2022-08-05T00:00:00.000Z,16,45,26,22,28,4.259,295
2022-08-06T00:00:00.000Z,4,79,13,9,18,9.908,326
2022-08-07T00:00:00.000Z,3,149,10,7,13,17.184,514
2022-08-08T00:00:00.000Z,4,76,15,11,20,16.535,303
2022-08-09T00:00:00.000Z,10,27,19,17,20,2.546,302
2022-08-10T00:00:00.000Z,7,81,18,14,30,17.039,460
2022-08-11T00:00:00.000Z,6,57,18,14,33,9.359,346
2022-08-12T00:00:00.000Z,9,37,18,15,23.5,5.292,300
2022-08-13T00:00:00.000Z,19,44,28,26,31,3.995,288
2022-08-14T00:00:00.000Z,14,34,26,24,29,3.883,295
2022-08-15T00:00:00.000Z,11,77,24,21,29,9.566,399
2022-08-16T00:00:00.000Z,19,47,24,22.5,27,4.658,289
2022-08-17T00:00:00.000Z,20,247,31.5,29,59.5,25.497,424
2022-08-18T00:00:00.000Z,25,55,35,33,37,4.377,405
2022-08-19T00:00:00.000Z,21,49,31,28,35,5.926,299
2022-08-20T00:00:00.000Z,10,58,29,22,36,11.41,326
2022-08-21T00:00:00.000Z,2,25,13,9,16,5.157,357
2022-08-22T00:00:00.000Z,1,27,7,3,14,6.177,522
2022-08-23T00:00:00.000Z,6,86,16,13.5,32,16.609,320
2022-08-24T00:00:00.000Z,16,65,30,27,35,7.703,326
2022-08-25T00:00:00.000Z,19,53,32,31,35,5.446,326
2022-08-26T00:00:00.000Z,14,42,27,20,33,6.895,307
2022-08-27T00:00:00.000Z,15,47,25,21,28,6.236,343
2022-08-28T00:00:00.000Z,9,47,22,18,31,9.298,325
2022-08-29T00:00:00.000Z,4,31,15,12,17,4.399,331
2022-08-30T00:00:00.000Z,8,80,39,17,54,19.528,316
2022-08-31T00:00:00.000Z,10,37,20,16,24,5.696,308
2022-09-01T00:00:00.000Z,0,16,9,5,11,3.63,373
2022-09-02T00:00:00.000Z,3,34,12,10,16,5.269,386
2022-09-03T00:00:00.000Z,5,35,13,10,26,8.185,487
2022-09-04T00:00:00.000Z,8,432,27,17,265,142.929,518
2022-09-05T00:00:00.000Z,10,134,22,17,29,18.216,459
2022-09-06T00:00:00.000Z,7,78,24,14,41,17.685,311
2022-09-07T00:00:00.000Z,6,33,16,14,18,4.74,355
2022-09-08T00:00:00.000Z,8,34,19,13,25,6.25,522
2022-09-09T00:00:00.000Z,5,19,13,12,15,2.658,333
2022-09-10T00:00:00.000Z,1,71,11,6,15,9.856,371
2022-09-11T00:00:00.000Z,5,21,15,13,16,2.919,337
2022-09-12T00:00:00.000Z,4,59,14,10,21,11.387,324
2022-09-13T00:00:00.000Z,5,56,16,12,24,12.404,348
2022-09-14T00:00:00.000Z,9,39,22,16,25,5.628,338
2022-09-15T00:00:00.000Z,5,38,16,13,20,5.931,346
2022-09-16T00:00:00.000Z,0,22,9,8,11,3.44,344
2022-09-17T00:00:00.000Z,3,21,11,10,13,3.408,367
2022-09-18T00:00:00.000Z,2,40,22,11,26,8.443,368
2022-09-19T00:00:00.000Z,1,116,12,8,25,20.762,394
2022-09-20T00:00:00.000Z,0,305,11,4,47,83.712,373
2022-09-21T00:00:00.000Z,3,33,12.5,9,16,4.943,400
2022-09-22T00:00:00.000Z,2,285,16,11,28,60.589,338
2022-09-23T00:00:00.000Z,3,49,23,15.5,29,10.57,365
2022-09-24T00:00:00.000Z,6,56,30,18,37,11.018,336
2022-09-25T00:00:00.000Z,9,58,36,20,47,14.199,368
2022-09-26T00:00:00.000Z,25,73,39,33,45,9.848,358
2022-09-27T00:00:00.000Z,13,212,29,25,34,15.945,364
2022-09-28T00:00:00.000Z,5,260,19,14,30,41.472,366
2022-09-29T00:00:00.000Z,6,819,20,16,159.5,182.935,341
2022-09-30T00:00:00.000Z,21,88,49,34,68,18.147,360
2022-10-01T00:00:00.000Z,9,45,25,16,30,8.317,421
2022-10-02T00:00:00.000Z,3,71,12,7,28,18.969,369
2022-10-03T00:00:00.000Z,3,192,15,12,70,51.006,395
2022-10-04T00:00:00.000Z,2,72,9,8,24,19.849,368
2022-10-05T00:00:00.000Z,5,182,29,16,47,23.174,481
2022-10-06T00:00:00.000Z,5,43,17,14,21,6.875,343
2022-10-07T00:00:00.000Z,12,51,32,25,37,7.576,340
2022-10-08T00:00:00.000Z,15,45,29,22,32,6.174,334
2022-10-09T00:00:00.000Z,2,49,14,11,17,9.622,326
2022-10-10T00:00:00.000Z,12,37,25,22,28,4.281,340
2022-10-11T00:00:00.000Z,5,62,20,14,26,12.063,346
2022-10-12T00:00:00.000Z,12,76,41,24,50,15.159,334
2022-10-13T00:00:00.000Z,18,70,43,36,49,9.334,344
2022-10-14T00:00:00.000Z,20,53,40,32,45,7.936,351
2022-10-15T00:00:00.000Z,17,69,31,28,38,9.642,327
2022-10-16T00:00:00.000Z,5,60,20,15,36.5,12.765,265
2022-10-17T00:00:00.000Z,20,54,33,29,39,6.349,356
2022-10-18T00:00:00.000Z,14,43,25,22,28,5.15,249
2022-10-21T00:00:00.000Z,19,54,33,28,41,8.252,351
2022-10-22T00:00:00.000Z,11,39,22,19,25,4.367,335
2022-10-23T00:00:00.000Z,7,135,29,18,54,28.245,341
2022-10-24T00:00:00.000Z,7,43,20,16,23,6.307,345
2022-10-25T00:00:00.000Z,2,117,14,11,27,22.838,332
2022-10-26T00:00:00.000Z,8,165,26,21.5,31,25.364,356
2022-10-27T00:00:00.000Z,9,67,32,21,37,10.504,353
2022-10-28T00:00:00.000Z,7,56,29,20,37,11.165,355
2022-10-29T00:00:00.000Z,6,69,23,15,32,16.391,362
2022-10-30T00:00:00.000Z,11,58,32,22,40.5,11.868,361
2022-10-31T00:00:00.000Z,11,62,34,24,47,13.271,355
2022-11-01T00:00:00.000Z,13,58,28,22,47,13.404,356
2022-11-02T00:00:00.000Z,4,52,20,12,27,8.796,356
2022-11-03T00:00:00.000Z,6,51,22,17,31,9.319,299
2022-11-04T00:00:00.000Z,16,66,27,22,48,14.343,338
2022-11-05T00:00:00.000Z,2,43,14,9,25,9.571,330
2022-11-06T00:00:00.000Z,5,40,25,16,30,7.954,364
2022-11-07T00:00:00.000Z,8,41,24,16,31,8.345,315
2022-11-08T00:00:00.000Z,4,35,23,13,27,8.146,331
2022-11-09T00:00:00.000Z,20,68,33,31,48,12.2,323
2022-11-10T00:00:00.000Z,12,123,46,23,68,26.811,308
2022-11-11T00:00:00.000Z,12,70,29,21,39,11.549,324
2022-11-12T00:00:00.000Z,9,49,27,19,36,9.44,331
2022-11-13T00:00:00.000Z,22,71,39,30,53,12.982,326
2022-11-14T00:00:00.000Z,30,75,48,43,57,9.413,318
2022-11-15T00:00:00.000Z,30,87,58,50,64,12.552,336
2022-11-16T00:00:00.000Z,20,80,41,34,57,15.589,330
2022-11-17T00:00:00.000Z,5,81,20,16,31,14.098,337
2022-11-18T00:00:00.000Z,14,40,26,23,30,5.294,341
2022-11-19T00:00:00.000Z,13,66,30,26,37,10.685,355
2022-11-20T00:00:00.000Z,35,90,60,54,67,11.446,322
2022-11-21T00:00:00.000Z,15,80,45,28.5,56,15.722,329
2022-11-22T00:00:00.000Z,24,89,37,32,52,16.026,344
2022-11-23T00:00:00.000Z,40,98,66,57,73,10.469,322
2022-11-24T00:00:00.000Z,48,86,62,58,72,9.213,316
2022-11-25T00:00:00.000Z,29,78,56,49,62,9.575,339
2022-11-26T00:00:00.000Z,11,108,51,26,68,23.095,343
2022-11-27T00:00:00.000Z,21,60,46,37,51,9.241,339
2022-11-28T00:00:00.000Z,26,79,48,44,52,9.298,369
2022-11-29T00:00:00.000Z,25,73,42,36,62.5,13.648,389
2022-11-30T00:00:00.000Z,37,105,53,47,60,10.221,337
2022-12-01T00:00:00.000Z,23,97,43,34,51,12.877,299
2022-12-02T00:00:00.000Z,20,57,34,30,38,7.081,292
2022-12-03T00:00:00.000Z,32,159,55,44,70,21.643,289
2022-12-04T00:00:00.000Z,48,78,64,60,66,5.085,359
2022-12-05T00:00:00.000Z,33,83,55,46,68,13.138,365
2022-12-06T00:00:00.000Z,13,76,26,23,48,15.987,347
2022-12-07T00:00:00.000Z,3,51,13,8,18,9.623,332
2022-12-08T00:00:00.000Z,6,51,22,17,31,10.481,323
2022-12-09T00:00:00.000Z,18,85,39,32,45,15.525,349
2022-12-10T00:00:00.000Z,26,68,47,42,53,7.552,352
2022-12-11T00:00:00.000Z,20,60,36,31,47.5,10.441,336
2022-12-12T00:00:00.000Z,7,37,22,17,26,5.873,374
2022-12-13T00:00:00.000Z,6,77,19,16,28,18.948,323
2022-12-14T00:00:00.000Z,52,89,74,68,78,8.066,368
2022-12-15T00:00:00.000Z,28,93,65,46.5,77,17.341,333
2022-12-16T00:00:00.000Z,57,218,71,66,83,16.271,332
2022-12-17T00:00:00.000Z,37,105,66,55,83,15.279,332
2022-12-18T00:00:00.000Z,26,93,45,39,56,14.112,337
2022-12-19T00:00:00.000Z,21,106,57.5,45,87,22.076,350
2022-12-20T00:00:00.000Z,25,58,36,33,41,5.821,334
2022-12-21T00:00:00.000Z,21,60,36,31,43,8.978,334
2022-12-22T00:00:00.000Z,4,44,21,18,26,7.375,311
2022-12-23T00:00:00.000Z,4,44,16,13,20,8.324,250
2022-12-24T00:00:00.000Z,3,66,14,10,20,12.099,304
2022-12-25T00:00:00.000Z,6,39,18,15,26,7.35,306
2022-12-26T00:00:00.000Z,5,30,17,15,21,5.418,264
2022-12-27T00:00:00.000Z,0,29,9,5,13,6.538,301
2022-12-28T00:00:00.000Z,4,82,16,13,20,11.337,287
2022-12-29T00:00:00.000Z,5,72,18,13,34,13.341,333
2022-12-30T00:00:00.000Z,7,53,25,19,31,9.772,283
2022-12-31T00:00:00.000Z,1,48,12,7,20,10.267,346
2023-01-01T00:00:00.000Z,4,33,15,11,20,6.106,331
2023-01-02T00:00:00.000Z,8,85,24,19,37,15.908,335
2023-01-03T00:00:00.000Z,3,80,13,11,26,15.492,281
2023-01-04T00:00:00.000Z,5,98,36,16,62,24.41,307
2023-01-05T00:00:00.000Z,5,86,15.5,10,30,19.984,320
2023-01-06T00:00:00.000Z,2,27,12,9,16,5.259,337
2023-01-07T00:00:00.000Z,7,62,20,16,27,14.709,356
2023-01-08T00:00:00.000Z,14,67,43,33,51,11.826,324
2023-01-09T00:00:00.000Z,14,62,36,30,47,11.404,330
2023-01-10T00:00:00.000Z,4,56,19,14,29,10.584,328
2023-01-11T00:00:00.000Z,4,121,17,11,25,23.41,335
2023-01-12T00:00:00.000Z,2,57,15,12,18,7.625,321
2023-01-13T00:00:00.000Z,1,30,10,7,13,6.711,339
2023-01-14T00:00:00.000Z,2,61,14,11,20,9.517,336
2023-01-15T00:00:00.000Z,2,63,11,9,16,8.151,308
2023-01-16T00:00:00.000Z,2,113,10,7,14,26.32,334
2023-01-17T00:00:00.000Z,2,64,18,11,45.5,18.339,313
2023-01-18T00:00:00.000Z,18,81,39,30,47,13.057,308
2023-01-19T00:00:00.000Z,7,64,22,14,34.5,15.596,321
2023-01-20T00:00:00.000Z,44,88,71,65.5,76,8.114,337
2023-01-21T00:00:00.000Z,5,60,23,13,34,14.509,359
2023-01-22T00:00:00.000Z,24,73,41,35,46,9.475,298
2023-01-23T00:00:00.000Z,33,69,42,38,48,7.466,290
2023-01-24T00:00:00.000Z,36,69,49,44,56.5,8.377,332
2023-01-25T00:00:00.000Z,17,78,40,32,54.5,13.809,305
2023-01-26T00:00:00.000Z,29,71,46,42,58,9.611,322
2023-01-27T00:00:00.000Z,32,94,56,51,62,11.959,267
2023-01-28T00:00:00.000Z,14,101,33,25,50,17.385,326
2023-01-29T00:00:00.000Z,6,55,16,13,22.5,9.694,364
2023-01-30T00:00:00.000Z,2,34,13,10,21,7.266,332
2023-01-31T00:00:00.000Z,0,18,10,8,12,4.127,328
2023-02-01T00:00:00.000Z,1,48,11,9,16,7.912,325
2023-02-02T00:00:00.000Z,0,77,14,10,21.5,16.601,340
2023-02-03T00:00:00.000Z,4,97,18,15,27,22.769,261
2023-02-04T00:00:00.000Z,3,22,13,11,14,2.411,287
2023-02-05T00:00:00.000Z,2,78,17,13,34,19.797,347
2023-02-06T00:00:00.000Z,28,157,70,50,79,22.042,296
2023-02-07T00:00:00.000Z,28,109,66,40,86,23.408,292
2023-02-08T00:00:00.000Z,14,94,37,28,56.5,17.298,277
